trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.9, 'e': 3.58564308508731e-05}",20,0,23.93588122709407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.9, 'e': 3.5430839002267575e-05}",20,6,25.650848482308604,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 3.501277966457757e-05}",25,19,9.8491621088249,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 3.460207612456748e-05}",25,19,11.780663561870444,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 3.419855682090216e-05}",30,19,21.549366300333304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 3.380205516495403e-05}",20,12,14.23331166567327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 3.3412409368839586e-05}",25,1,38.25999746348989,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 3.302946228035408e-05}",20,14,13.205039213787593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 3.265306122448979e-05}",25,15,18.481663438832385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 3.228305785123967e-05}",20,0,30.49623699556541,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.9, 'e': 3.191930798940279e-05}",20,0,25.001978154329173,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.9, 'e': 3.156167150612296e-05}",20,0,30.310261074820843,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
